全国统一招生代码,大学,985,211,双一流,省份,城市
10001,北京大学,1,1,1,北京,北京市
10003,清华大学,1,1,1,北京,北京市
10013,北京邮电大学,0,1,1,北京,北京市
10002,中国人民大学,1,1,1,北京,北京市
10027,北京师范大学,1,1,1,北京,北京市
10007,北京理工大学,1,1,1,北京,北京市
10006,北京航空航天大学,1,1,1,北京,北京市
10034,中央财经大学,0,1,1,北京,北京市
10033,中国传媒大学,0,1,1,北京,北京市
10005,北京工业大学,0,1,1,北京,北京市
10004,北京交通大学,0,1,1,北京,北京市
10036,对外经济贸易大学,0,1,1,北京,北京市
10054,华北电力大学,0,1,1,北京,北京市
10008,北京科技大学,0,1,1,北京,北京市
10053,中国政法大学,0,1,1,北京,北京市
10019,中国农业大学,1,1,1,北京,北京市
10030,北京外国语大学,0,1,1,北京,北京市
10028,首都师范大学,0,0,1,北京,北京市
10052,中央民族大学,1,1,1,北京,北京市
10026,北京中医药大学,0,1,1,北京,北京市
10041,中国人民公安大学,0,0,1,北京,北京市
10022,北京林业大学,0,1,1,北京,北京市
10010,北京化工大学,0,1,1,北京,北京市
11414,中国石油大学（北京）,0,1,1,北京,北京市
11415,中国地质大学（北京）,0,1,1,北京,北京市
10043,北京体育大学,0,1,1,北京,北京市
10040,外交学院,0,0,1,北京,北京市
11413,中国矿业大学（北京）,0,1,1,北京,北京市
10023,北京协和医学院,0,0,1,北京,北京市
10048,中央戏剧学院,0,0,1,北京,北京市
14430,中国科学院大学,0,0,1,北京,北京市
10047,中央美术学院,0,0,1,北京,北京市
10045,中央音乐学院,0,1,1,北京,北京市
10046,中国音乐学院,0,0,1,北京,北京市
10056,天津大学,1,1,1,天津,天津市
10055,南开大学,1,1,1,天津,天津市
10058,天津工业大学,0,0,1,天津,天津市
10062,天津医科大学,0,1,1,天津,天津市
10080,河北工业大学,0,1,1,天津,天津市
10063,天津中医药大学,0,0,1,天津,天津市
10112,太原理工大学,0,1,1,山西,太原市
10126,内蒙古大学,0,1,1,内蒙古,呼和浩特市
10141,大连理工大学,1,1,1,辽宁,大连市
10145,东北大学,1,1,1,辽宁,沈阳市
10151,大连海事大学,0,1,1,辽宁,大连市
10140,辽宁大学,0,1,1,辽宁,沈阳市
10183,吉林大学,1,1,1,吉林,长春市
10200,东北师范大学,0,1,1,吉林,长春市
