省份,大学,本或专科,985,211,双一流,城市
北京,北京大学,普通本科,1,1,1,北京市
北京,清华大学,普通本科,1,1,1,北京市
北京,北京邮电大学,普通本科,0,1,1,北京市
北京,中国人民大学,普通本科,1,1,1,北京市
北京,北京师范大学,普通本科,1,1,1,北京市
北京,北京理工大学,普通本科,1,1,1,北京市
北京,北京航空航天大学,普通本科,1,1,1,北京市
北京,中央财经大学,普通本科,0,1,1,北京市
北京,中国传媒大学,普通本科,0,1,1,北京市
北京,北京工业大学,普通本科,0,1,1,北京市
北京,北京交通大学,普通本科,0,1,1,北京市
北京,对外经济贸易大学,普通本科,0,1,1,北京市
北京,华北电力大学,普通本科,0,1,1,北京市
北京,北京科技大学,普通本科,0,1,1,北京市
北京,中国政法大学,普通本科,0,1,1,北京市
北京,中国农业大学,普通本科,1,1,1,北京市
北京,北京外国语大学,普通本科,0,1,1,北京市
北京,首都师范大学,普通本科,0,0,1,北京市
北京,中央民族大学,普通本科,1,1,1,北京市
北京,北京中医药大学,普通本科,0,1,1,北京市
北京,中国人民公安大学,普通本科,0,0,1,北京市
北京,北京林业大学,普通本科,0,1,1,北京市
北京,北京化工大学,普通本科,0,1,1,北京市
北京,中国石油大学（北京）,普通本科,0,1,1,北京市
北京,中国地质大学（北京）,普通本科,0,1,1,北京市
北京,北京体育大学,普通本科,0,1,1,北京市
北京,外交学院,普通本科,0,0,1,北京市
北京,中国矿业大学（北京）,普通本科,0,1,1,北京市
北京,北京协和医学院,普通本科,0,0,1,北京市
北京,北京大学医学部,普通本科,1,1,0,北京市
北京,中央戏剧学院,普通本科,0,0,1,北京市
北京,中国科学院大学,普通本科,0,0,1,北京市
北京,中央美术学院,普通本科,0,0,1,北京市
北京,中央音乐学院,普通本科,0,1,1,北京市
北京,中国音乐学院,普通本科,0,0,1,北京市
天津,天津大学,普通本科,1,1,1,天津市
天津,南开大学,普通本科,1,1,1,天津市
天津,天津工业大学,普通本科,0,0,1,天津市
天津,天津医科大学,普通本科,0,1,1,天津市
天津,河北工业大学,普通本科,0,1,1,天津市
天津,天津中医药大学,普通本科,0,0,1,天津市
河北,华北电力大学保定校区,普通本科,0,1,1,保定市
河北,东北大学秦皇岛分校,普通本科,1,1,0,秦皇岛市
山西,太原理工大学,普通本科,0,1,1,太原市
内蒙古,内蒙古大学,普通本科,0,1,1,呼和浩特市
辽宁,大连理工大学,普通本科,1,1,1,大连市
辽宁,东北大学,普通本科,1,1,1,沈阳市
辽宁,大连海事大学,普通本科,0,1,1,大连市
辽宁,辽宁大学,普通本科,0,1,1,沈阳市
吉林,吉林大学,普通本科,1,1,1,长春市
吉林,东北师范大学,普通本科,0,1,1,长春市
吉林,延边大学,普通本科,0,1,1,延边朝鲜族自治州
黑龙江,哈尔滨工程大学,普通本科,0,1,1,哈尔滨市
黑龙江,哈尔滨工业大学,普通本科,1,1,1,哈尔滨市
黑龙江,东北林业大学,普通本科,0,1,1,哈尔滨市
黑龙江,东北农业大学,普通本科,0,1,1,哈尔滨市
上海,上海交通大学,普通本科,1,1,1,上海市
上海,同济大学,普通本科,1,1,1,上海市
上海,复旦大学,普通本科,1,1,1,上海市
上海,上海大学,普通本科,0,1,1,上海市
上海,上海财经大学,普通本科,0,1,1,上海市
上海,上海中医药大学,普通本科,0,0,1,上海市
上海,华东师范大学,普通本科,1,1,1,上海市
上海,华东理工大学,普通本科,0,1,1,上海市
上海,东华大学,普通本科,0,1,1,上海市
上海,上海外国语大学,普通本科,0,1,1,上海市
上海,上海海洋大学,普通本科,0,0,1,上海市
上海,海军军医大学,普通本科,0,1,1,上海市
上海,上海体育学院,普通本科,0,0,1,上海市
上海,上海音乐学院,普通本科,0,0,1,上海市
