学校,全国统一招生代码,所在地,办学层次
北京大学,10001,北京市,本科
中国人民大学,10002,北京市,本科
清华大学,10003,北京市,本科
北京交通大学,10004,北京市,本科
北京工业大学,10005,北京市,本科
北京航空航天大学,10006,北京市,本科
北京理工大学,10007,北京市,本科
北京科技大学,10008,北京市,本科
北方工业大学,10009,北京市,本科
北京化工大学,10010,北京市,本科
北京工商大学,10011,北京市,本科
北京服装学院,10012,北京市,本科
北京邮电大学,10013,北京市,本科
北京印刷学院,10015,北京市,本科
北京建筑大学,10016,北京市,本科
北京石油化工学院,10017,北京市,本科
北京电子科技学院,10018,北京市,本科
中国农业大学,10019,北京市,本科
北京农学院,10020,北京市,本科
北京林业大学,10022,北京市,本科
北京协和医学院,10023,北京市,本科
首都医科大学,10025,北京市,本科
北京中医药大学,10026,北京市,本科
北京师范大学,10027,北京市,本科
首都师范大学,10028,北京市,本科
首都体育学院,10029,北京市,本科
北京外国语大学,10030,北京市,本科
北京第二外国语学院,10031,北京市,本科
北京语言大学,10032,北京市,本科
中国传媒大学,10033,北京市,本科
中央财经大学,10034,北京市,本科
对外经济贸易大学,10036,北京市,本科
北京物资学院,10037,北京市,本科
首都经济贸易大学,10038,北京市,本科
中国消防救援学院,10039,北京市,本科
外交学院,10040,北京市,本科
中国人民公安大学,10041,北京市,本科
国际关系学院,10042,北京市,本科
北京体育大学,10043,北京市,本科
中央音乐学院,10045,北京市,本科
中国音乐学院,10046,北京市,本科
中央美术学院,10047,北京市,本科
中央戏剧学院,10048,北京市,本科
中国戏曲学院,10049,北京市,本科
北京电影学院,10050,北京市,本科
北京舞蹈学院,10051,北京市,本科
中央民族大学,10052,北京市,本科
中国政法大学,10053,北京市,本科
华北电力大学,10054,北京市,本科
中华女子学院,11149,北京市,本科
北京信息科技大学,11232,北京市,本科
中国矿业大学（北京）,11413,北京市,本科
中国石油大学（北京）,11414,北京市,本科
中国地质大学（北京）,11415,北京市,本科
北京联合大学,11417,北京市,本科
北京城市学院,11418,北京市,本科
中国青年政治学院,11625,北京市,本科
首钢工学院,11831,北京市,本科
中国劳动关系学院,12453,北京市,本科
首都师范大学科德学院,13629,北京市,本科
北京金融科技学院,13630,北京市,本科
北京邮电大学世纪学院,13901,北京市,本科
北京工业大学耿丹学院,13904,北京市,本科
北京警察学院,14019,北京市,本科
北京第二外国语学院中瑞酒店管理学院,14201,北京市,本科
中国科学院大学,14430,北京市,本科
中国社会科学院大学,14596,北京市,本科
民政职业大学,14139,北京市,本科
北京科技职业大学,10858,北京市,本科
南开大学,10055,天津市,本科
天津大学,10056,天津市,本科
天津科技大学,10057,天津市,本科
天津工业大学,10058,天津市,本科
中国民航大学,10059,天津市,本科
天津理工大学,10060,天津市,本科
天津农学院,10061,天津市,本科
天津医科大学,10062,天津市,本科
天津中医药大学,10063,天津市,本科
天津师范大学,10065,天津市,本科
天津职业技术师范大学,10066,天津市,本科
天津外国语大学,10068,天津市,本科
天津商业大学,10069,天津市,本科
天津财经大学,10070,天津市,本科
天津体育学院,10071,天津市,本科
天津音乐学院,10072,天津市,本科
天津美术学院,10073,天津市,本科
天津城建大学,10792,天津市,本科
天津天狮学院,10859,天津市,本科
天津中德应用技术大学,12105,天津市,本科
天津外国语大学滨海外事学院,13658,天津市,本科
天津传媒学院,13659,天津市,本科
天津商业大学宝德学院,13660,天津市,本科
天津医科大学临床医学院,13661,天津市,本科
南开大学滨海学院,13663,天津市,本科
天津师范大学津沽学院,13896,天津市,本科
天津理工大学中环信息学院,13897,天津市,本科
北京科技大学天津学院,13898,天津市,本科
天津仁爱学院,14038,天津市,本科
天津财经大学珠江学院,14087,天津市,本科
天津警察学院,12723,天津市,本科
河北大学,10075,保定市,本科
河北工程大学,10076,邯郸市,本科
河北地质大学,10077,石家庄市,本科
河北工业大学,10080,天津市,本科
华北理工大学,10081,唐山市,本科
河北科技大学,10082,石家庄市,本科
河北建筑工程学院,10084,张家口市,本科
河北水利电力学院,10085,沧州市,本科
河北农业大学,10086,保定市,本科
河北医科大学,10089,石家庄市,本科
河北北方学院,10092,张家口市,本科
承德医学院,10093,承德市,本科
河北师范大学,10094,石家庄市,本科
保定学院,10096,保定市,本科
河北民族师范学院,10098,承德市,本科
唐山师范学院,10099,唐山市,本科
廊坊师范学院,10100,廊坊市,本科
衡水学院,10101,衡水市,本科
石家庄学院,10102,石家庄市,本科
邯郸学院,10103,邯郸市,本科
邢台学院,10104,邢台市,本科
沧州师范学院,10105,沧州市,本科
石家庄铁道大学,10107,石家庄市,本科
燕山大学,10216,秦皇岛市,本科
河北科技师范学院,10798,秦皇岛市,本科
唐山学院,11033,唐山市,本科
华北科技学院,11104,廊坊市,本科
中国人民警察大学,11105,廊坊市,本科
河北体育学院,11236,石家庄市,本科
河北金融学院,11420,保定市,本科
北华航天工业学院,11629,廊坊市,本科
防灾科技学院,11775,廊坊市,本科
河北经贸大学,11832,石家庄市,本科
中央司法警官学院,11903,保定市,本科
河北传媒学院,12784,石家庄市,本科
河北工程技术学院,12796,石家庄市,本科
河北美术学院,13075,石家庄市,本科
河北科技学院,13391,保定市,本科
河北外国语学院,13402,石家庄市,本科
河北大学工商学院,13404,保定市,本科
华北理工大学轻工学院,13408,唐山市,本科
河北工业职业技术大学,16204,石家庄市,本科
河北师范大学汇华学院,13411,石家庄市,本科
河北经贸大学经济管理学院,13414,石家庄市,本科
河北医科大学临床学院,13415,石家庄市,本科
河北科技工程职业技术大学,16203,邢台市,本科
河北工程大学科信学院,13578,邯郸市,本科
河北石油职业技术大学,16202,承德市,本科
燕山大学里仁学院,13592,秦皇岛市,本科
石家庄铁道大学四方学院,13593,石家庄市,本科
河北地质大学华信学院,13594,石家庄市,本科
河北农业大学现代科技学院,13595,保定市,本科
华北理工大学冀唐学院,13596,唐山市,本科
保定理工学院,13891,保定市,本科
燕京理工学院,13895,廊坊市,本科
北京中医药大学东方学院,13899,廊坊市,本科
沧州交通学院,14202,沧州市,本科
河北东方学院,14225,廊坊市,本科
河北中医药大学,14432,石家庄市,本科
张家口学院,14458,张家口市,本科
河北环境工程学院,51721,秦皇岛市,本科
唐山工业职业技术大学,12787,唐山市,本科
邢台医学院,12884,邢台市,本科
山西大学,10108,太原市,本科
太原科技大学,10109,太原市,本科
中北大学,10110,太原市,本科
太原理工大学,10112,太原市,本科
山西农业大学,10113,晋中市,本科
山西医科大学,10114,太原市,本科
长治医学院,10117,长治市,本科
山西师范大学,10118,太原市,本科
太原师范学院,10119,太原市,本科
山西大同大学,10120,大同市,本科
晋中学院,10121,晋中市,本科
长治学院,10122,长治市,本科
运城学院,10123,运城市,本科
忻州师范学院,10124,忻州市,本科
山西财经大学,10125,太原市,本科
山西中医药大学,10809,太原市,本科
吕梁学院,10812,吕梁市,本科
太原学院,11242,太原市,本科
山西警察学院,12111,太原市,本科
山西应用科技学院,12779,太原市,本科
山西工程科技职业大学,16201,太原市,本科
山西工学院,13534,朔州市,本科
晋中信息学院,13535,晋中市,本科
山西电子科技学院,13537,临汾市,本科
山西晋中理工学院,13538,晋中市,本科
山西科技学院,13597,晋城市,本科
晋中健康学院,13598,晋中市,本科
山西财经大学华商学院,13608,太原市,本科
山西工商学院,13691,太原市,本科
太原工业学院,14101,太原市,本科
运城职业技术大学,14226,运城市,本科
山西传媒学院,14434,太原市,本科
山西工程技术学院,14527,阳泉市,本科
山西能源学院,51189,晋中市,本科
山西医药学院,14898,吕梁市,本科
山西文化旅游职业大学,13696,太原市,本科
内蒙古大学,10126,呼和浩特市,本科
内蒙古科技大学,10127,包头市,本科
内蒙古工业大学,10128,呼和浩特市,本科
内蒙古农业大学,10129,呼和浩特市,本科
内蒙古医科大学,10132,呼和浩特市,本科
内蒙古师范大学,10135,呼和浩特市,本科
内蒙古民族大学,10136,通辽市,本科
赤峰学院,10138,赤峰市,本科
内蒙古财经大学,10139,呼和浩特市,本科
呼伦贝尔学院,10819,呼伦贝尔市,本科
集宁师范学院,11427,乌兰察布市,本科
河套学院,11631,巴彦淖尔市,本科
呼和浩特民族学院,11709,呼和浩特市,本科
内蒙古大学创业学院,14199,呼和浩特市,本科
内蒙古鸿德文理学院,14205,呼和浩特市,本科
内蒙古艺术学院,14531,呼和浩特市,本科
鄂尔多斯应用技术学院,14532,鄂尔多斯市,本科
内蒙古警察学院,12797,呼和浩特市,本科
内蒙古建筑职业技术大学,10871,呼和浩特市,本科
兴安职业技术大学,12443,兴安盟,本科
呼和浩特职业技术大学,12670,呼和浩特市,本科
辽宁大学,10140,沈阳市,本科
大连理工大学,10141,大连市,本科
沈阳工业大学,10142,沈阳市,本科
沈阳航空航天大学,10143,沈阳市,本科
沈阳理工大学,10144,沈阳市,本科
东北大学,10145,沈阳市,本科
辽宁科技大学,10146,鞍山市,本科
辽宁工程技术大学,10147,阜新市,本科
辽宁石油化工大学,10148,抚顺市,本科
沈阳化工大学,10149,沈阳市,本科
大连交通大学,10150,大连市,本科
大连海事大学,10151,大连市,本科
大连工业大学,10152,大连市,本科
沈阳建筑大学,10153,沈阳市,本科
辽宁工业大学,10154,锦州市,本科
沈阳农业大学,10157,沈阳市,本科
大连海洋大学,10158,大连市,本科
中国医科大学,10159,沈阳市,本科
锦州医科大学,10160,锦州市,本科
大连医科大学,10161,大连市,本科
辽宁中医药大学,10162,沈阳市,本科
沈阳药科大学,10163,沈阳市,本科
沈阳医学院,10164,沈阳市,本科
辽宁师范大学,10165,大连市,本科
沈阳师范大学,10166,沈阳市,本科
渤海大学,10167,锦州市,本科
鞍山师范学院,10169,鞍山市,本科
大连外国语大学,10172,大连市,本科
东北财经大学,10173,大连市,本科
中国刑事警察学院,10175,沈阳市,本科
沈阳体育学院,10176,沈阳市,本科
沈阳音乐学院,10177,沈阳市,本科
鲁迅美术学院,10178,沈阳市,本科
辽宁对外经贸学院,10841,大连市,本科
沈阳大学,11035,沈阳市,本科
大连大学,11258,大连市,本科
辽宁科技学院,11430,本溪市,本科
辽宁警察学院,11432,大连市,本科
沈阳工程学院,11632,沈阳市,本科
辽东学院,11779,丹东市,本科
大连民族大学,12026,大连市,本科
辽宁理工职业大学,12595,锦州市,本科
大连理工大学城市学院,13198,大连市,本科
沈阳工业大学工程学院,13199,辽阳市,本科
沈阳航空航天大学北方科技学院,13200,沈阳市,本科
沈阳工学院,13201,抚顺市,本科
大连工业大学艺术与信息工程学院,13203,大连市,本科
大连科技学院,13207,大连市,本科
沈阳城市建设学院,13208,沈阳市,本科
大连医科大学中山学院,13212,大连市,本科
锦州医科大学医疗学院,13213,锦州市,本科
辽宁师范大学海华学院,13215,大连市,本科
辽宁理工学院,13217,锦州市,本科
大连财经学院,13218,大连市,本科
沈阳城市学院,13220,沈阳市,本科
大连艺术学院,13599,大连市,本科
辽宁中医药大学杏林学院,13609,沈阳市,本科
辽宁何氏医学院,13610,沈阳市,本科
沈阳科技学院,13621,沈阳市,本科
大连东软信息学院,13631,大连市,本科
辽宁财贸学院,13900,葫芦岛市,本科
辽宁传媒学院,13957,沈阳市,本科
营口理工学院,14435,营口市,本科
朝阳师范学院,10171,朝阳市,本科
吉林大学,10183,长春市,本科
延边大学,10184,延边朝鲜族自治州,本科
长春理工大学,10186,长春市,本科
